feature,importance
num__waiting_days,0.16435940411326705
num__sms_received_flag,0.07066174165809742
cat__appointment_period_morning,0.06273876509725729
cat__appointment_period_afternoon,0.05638774709962209
cat__booking_channel_app,0.055115220732464325
cat__booking_channel_walk-in,0.05022816869097271
cat__booking_channel_call,0.04472281439317592
num__num_reminders,0.03852640419177138
cat__weather_condition_cloudy,0.03736398256066132
cat__weather_condition_rain,0.03712762213645304
cat__weather_condition_storm,0.03563231232662359
cat__gender_M,0.034154158939262276
cat__gender_F,0.03367573397978329
cat__weather_condition_clear,0.03301215103009381
cat__appointment_weekday_Wednesday,0.03265992858023638
num__historical_no_show_rate,0.029841173314480104
cat__appointment_weekday_Tuesday,0.02697675078953712
cat__appointment_weekday_Monday,0.025865026667188405
cat__appointment_weekday_Thursday,0.020232888383567058
num__past_no_show_count,0.01927474751107468
cat__appointment_weekday_Friday,0.015728048396800275
num__chronic_illness_flag,0.012082353386424577
num__past_visits_count,0.011016278473741283
num__age,0.009452106567649896
num__last_visit_gap_days,0.006144934442360519
cat__neighbourhood_JARDIM CAMBURI,0.0026407831849835283
cat__neighbourhood_ITARARÉ,0.0023272057533224757
cat__age_group_senior,0.0022110953668221167
cat__neighbourhood_MARIA ORTIZ,0.0020815727275978234
cat__neighbourhood_JARDIM DA PENHA,0.0020141427696006163
num__travel_time_minutes,0.0018903064871015772
num__transport_distance_km,0.0018740862410574362
cat__age_group_young_adult,0.001571450375536251
cat__neighbourhood_CENTRO,0.001328128072120576
num__sentiment_score,0.0013208141766992648
cat__age_group_child,0.0012193874861930317
cat__neighbourhood_SANTA MARTHA,0.0010365116937137366
cat__neighbourhood_RESISTÊNCIA,0.0010046373542843346
cat__sentiment_label_negative,0.0009195017521601623
cat__sentiment_label_neutral,0.0009162712869448683
cat__neighbourhood_JESUS DE NAZARETH,0.0008694977728647384
cat__age_group_adult,0.0008263339370534978
cat__neighbourhood_CARATOÍRA,0.0007137898132699836
cat__neighbourhood_SANTOS DUMONT,0.0007076724222218312
cat__neighbourhood_TABUAZEIRO,0.0006565912197617719
cat__neighbourhood_SANTO ANTÔNIO,0.0005594034792337823
cat__neighbourhood_SANTO ANDRÉ,0.0005216611109838559
cat__sentiment_label_positive,0.0004801547866424093
cat__neighbourhood_GURIGICA,0.00047164257142860624
cat__neighbourhood_SÃO PEDRO,0.00045655091769866154
cat__distance_category_medium,0.00041752128109298457
cat__neighbourhood_JABOUR,0.0004101029445931941
cat__neighbourhood_SÃO JOSÉ,0.000395110010169972
cat__distance_category_far,0.0003731754625893897
cat__neighbourhood_BONFIM,0.00037249827664440787
cat__neighbourhood_NOVA PALESTINA,0.0003534822037649408
cat__neighbourhood_ANDORINHAS,0.00028309379184454745
cat__neighbourhood_ROMÃO,0.0002819084898981864
cat__neighbourhood_BELA VISTA,0.00028180399264426926
cat__neighbourhood_ILHA DO PRÍNCIPE,0.0002792563446110581
cat__distance_category_near,0.0002639768711438615
cat__neighbourhood_FORTE SÃO JOÃO,0.0002592507326876393
cat__neighbourhood_DA PENHA,0.00020237027947396594
cat__neighbourhood_MARUÍPE,0.00018994387601695066
cat__neighbourhood_ILHA DE SANTA MARIA,0.00016830672134309462
cat__neighbourhood_ILHA DAS CAIEIRAS,0.00015595037656681345
cat__neighbourhood_CRUZAMENTO,0.00013729714585942475
cat__neighbourhood_PRAIA DO SUÁ,0.00012995092973880538
cat__neighbourhood_SANTA TEREZA,0.00011246259371205365
cat__neighbourhood_PARQUE MOSCOSO,0.00010999129800528118
cat__neighbourhood_SÃO CRISTÓVÃO,0.00010690860122641803
cat__neighbourhood_REDENÇÃO,0.0001030104348636613
cat__neighbourhood_SÃO BENEDITO,9.898326255564684e-05
cat__neighbourhood_GRANDE VITÓRIA,9.733607535680569e-05
cat__neighbourhood_PRAIA DO CANTO,7.331477914455467e-05
cat__neighbourhood_CONSOLAÇÃO,6.375349863977244e-05
cat__neighbourhood_JOANA D´ARC,6.367943564855385e-05
cat__neighbourhood_DO QUADRO,5.823599742172306e-05
cat__neighbourhood_BENTO FERREIRA,5.2758255123785466e-05
cat__neighbourhood_GOIABEIRAS,4.558671221710732e-05
cat__neighbourhood_INHANGUETÁ,4.281640717607099e-05
cat__neighbourhood_SANTA CECÍLIA,3.880376225934634e-05
cat__neighbourhood_CONQUISTA,3.6470896935999636e-05
cat__neighbourhood_ESTRELINHA,3.3234842250036574e-05
cat__neighbourhood_SANTOS REIS,3.166996973304313e-05
cat__neighbourhood_VILA RUBIM,3.0384327069139932e-05
cat__neighbourhood_JUCUTUQUARA,2.9863660831284068e-05
cat__neighbourhood_FONTE GRANDE,2.9630900360362945e-05
cat__neighbourhood_MONTE BELO,2.855612648785023e-05
cat__neighbourhood_SANTA CLARA,2.3857639756451254e-05
cat__neighbourhood_DO MOSCOSO,1.9263222752786582e-05
cat__neighbourhood_REPÚBLICA,1.7642766788591804e-05
cat__neighbourhood_SANTA LÚCIA,1.7248053292252567e-05
cat__neighbourhood_BARRO VERMELHO,1.3945042692389438e-05
cat__neighbourhood_MATA DA PRAIA,1.0832720288840124e-05
cat__neighbourhood_DO CABRAL,1.0207512360265714e-05
cat__neighbourhood_PIEDADE,8.354586491684565e-06
cat__neighbourhood_MÁRIO CYPRESTE,8.114496487940137e-06
cat__neighbourhood_ARIOVALDO FAVALESSA,5.342492616006327e-06
cat__neighbourhood_SOLON BORGES,5.1049507630001834e-06
cat__neighbourhood_SANTA LUÍZA,3.721642192165372e-06
cat__neighbourhood_ANTÔNIO HONÓRIO,3.2990679103441306e-06
cat__neighbourhood_UNIVERSITÁRIO,2.2387477829317906e-06
cat__neighbourhood_BOA VISTA,2.2191685976913498e-06
cat__neighbourhood_DE LOURDES,1.591208644487457e-06
cat__neighbourhood_HORTO,1.5339357725409155e-06
cat__neighbourhood_COMDUSA,1.46564258812231e-06
cat__neighbourhood_ENSEADA DO SUÁ,1.0682593302369827e-06
cat__neighbourhood_FRADINHOS,8.410533265084856e-07
cat__neighbourhood_AEROPORTO,0.0
cat__appointment_weekday_Saturday,0.0
num__is_weekend,0.0
cat__neighbourhood_ILHA DO FRADE,0.0
cat__neighbourhood_MORADA DE CAMBURI,0.0
cat__neighbourhood_ILHAS OCEÂNICAS DE TRINDADE,0.0
cat__neighbourhood_ILHA DO BOI,0.0
cat__neighbourhood_PONTAL DE CAMBURI,0.0
cat__neighbourhood_SANTA HELENA,0.0
cat__neighbourhood_NAZARETH,0.0
cat__neighbourhood_PARQUE INDUSTRIAL,0.0
cat__neighbourhood_SEGURANÇA DO LAR,0.0
